paraphrase_type,0
instruct_90char_bullet,1193
instruct_aave,1477
instruct_absurdist,777
instruct_acronyms_spelled_out,1310
instruct_advertisement,1238
instruct_all_caps,1468
instruct_all_caps_and_typo,1452
instruct_all_caps_and_typo_and_missing_bracket,1436
instruct_all_caps_and_typo_and_missing_bracket_and_random_characters,1408
instruct_ambiguous_scope,704
instruct_american_english,1477
instruct_apologetic,1405
instruct_apology,1214
instruct_archaic,1388
instruct_australian_english,1394
instruct_authoritative,1407
instruct_base64,416
instruct_british_english,1375
instruct_bullet_list,1395
instruct_bulleted_outline,1083
instruct_bureaucratic,1387
instruct_casual,1474
instruct_casual_chat,1441
instruct_checklist,1080
instruct_checklist_markdown,544
instruct_chemical_smiles,748
instruct_child_directed,1370
instruct_chinese_simplified,12
instruct_choice_question,492
instruct_cleft_it_is,1403
instruct_cockney,1412
instruct_code_fence,1317
instruct_colloquial,1414
instruct_command,1214
instruct_comparison_table,66
instruct_condensed_then_expand,859
instruct_condensed_then_expand_with_examples,574
instruct_condensed_then_expand_with_examples_and_explanations,537
instruct_condensed_then_expand_with_examples_and_explanations_and_summary,493
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks,264
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits,260
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references,248
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations,245
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments,231
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals,231
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals_and_analogies,231
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations_and_counterarguments_and_rebuttals_and_analogies_and_metaphors,231
instruct_confident,1272
instruct_contractions,1311
instruct_contradictory_ask,189
instruct_coord_to_subord,1431
instruct_csv_line,546
instruct_csv_row,408
instruct_culinary_jargon,1305
instruct_curly_quotations,1481
instruct_curly_quotations_and_missing_bracket,1466
instruct_curly_quotations_and_missing_bracket_and_typo,1441
instruct_curly_quotations_and_missing_bracket_and_typo_and_random_characters,1418
instruct_curly_quotations_and_missing_bracket_and_typo_and_random_characters_and_extra_space,1417
instruct_curly_quotations_and_typo,1457
instruct_cynical,1315
instruct_deadpan,1360
instruct_debate_turns,970
instruct_deferential,1412
instruct_direct_question,1174
instruct_dogmatic,1368
instruct_double_negative,1127
instruct_dramatic,1355
instruct_dual_audience,351
instruct_dynamic_quiz,388
instruct_edit_typo,785
instruct_ellipsis_style,1323
instruct_em_dash_break,1462
instruct_email,1435
instruct_emergency_alert,1426
instruct_emoji,1437
instruct_emoji_and_typo,1420
instruct_emoji_and_typo_and_missing_bracket,1410
instruct_emoji_and_typo_and_random_question_marks,1403
instruct_emoji_only,171
instruct_emoticon,1458
instruct_emoticon_and_typo,1431
instruct_emoticon_and_typo_and_missing_bracket,1419
instruct_emoticon_and_typo_and_random_exclamations,1417
instruct_empty_input,698
instruct_enthusiastic,1347
instruct_error_message,1268
instruct_esperanto,10
instruct_euphemistic,1259
instruct_evidence_cited_md,477
instruct_exact_numbers,1293
instruct_exam_prompt,1098
instruct_exclamation,1193
instruct_expert_consensus,980
instruct_extra_punct,1454
instruct_fact_check_inline,424
instruct_fashion_jargon,1267
instruct_few_words,1011
instruct_fewest_words,841
instruct_finance_jargon,1209
instruct_first_plural,1124
instruct_first_singular,1068
instruct_footnotes,1212
instruct_formal_academic,1366
instruct_formal_business,1395
instruct_formal_memo,1368
instruct_forum_quote,1282
instruct_french,10
instruct_friendly,1412
instruct_future_tense,1076
instruct_fuzzy_numbers,756
instruct_gamer_slang,1389
instruct_gaming_jargon,1349
instruct_garden_path,1092
instruct_german,10
instruct_greeting,1207
instruct_haiku,630
instruct_hashtags,1433
instruct_helpful_markdown_structure,1410
instruct_helpful_meaning_reinforing_characters,1456
instruct_hinglish,433
instruct_hopeful,1270
instruct_html_comment,745
instruct_html_tags,1424
instruct_humorous,1400
instruct_hypothetical_if,1180
instruct_impersonal_one_should,1081
instruct_indirect_question,1122
instruct_indirect_relay,1347
instruct_informal,1403
instruct_inline_ad,1465
instruct_inline_url,1464
instruct_insulting,1364
instruct_interrobang,1459
instruct_inversion,1354
instruct_ironic,1271
instruct_jargon,1285
instruct_joke,1370
instruct_journalist_interview,1245
instruct_json_format,417
instruct_key_smash,1355
instruct_klingon,22
instruct_leet_speak,1290
instruct_legal_jargon,1343
instruct_legalease,1367
instruct_legalese,1396
instruct_lighthearted,1355
instruct_litotes,1199
instruct_lyrical,1321
instruct_malapropism,660
instruct_markdown_bold,1475
instruct_markdown_bold_and_italic,1473
instruct_markdown_doc,1236
instruct_markdown_italic,1472
instruct_markdown_quote,1457
instruct_marketing,1356
instruct_marketing_speak,1296
instruct_medical_jargon,1226
instruct_melancholy,1312
instruct_memo,1405
instruct_meta_question,224
instruct_might_be_wrong,1294
instruct_minimalist,1335
instruct_misplaced_commas,1474
instruct_missing_bracket,1464
instruct_missing_bracket_and_quote,1419
instruct_missing_quote,1434
instruct_modal_may,936
instruct_modal_must,1365
instruct_modal_should,1197
instruct_morse_code,22
instruct_multi_paragraph,1144
instruct_musical_notation,1040
instruct_negated,1148
instruct_nested_parentheticals,1313
instruct_nested_question,1043
instruct_neutral,1412
instruct_news_headline,510
instruct_no_caps,1476
instruct_no_contractions,1270
instruct_no_punct,1453
instruct_no_spaces,525
instruct_nominalization,1315
instruct_numbered_list,1276
instruct_numbered_steps,771
instruct_one_typo_punctuation,1459
instruct_output_csv,108
instruct_output_html,113
instruct_output_json,104
instruct_output_markdown,125
instruct_output_python,39
instruct_output_sql,34
instruct_output_yaml,104
instruct_oxford_comma,1342
instruct_paradox,782
instruct_paradox_statement,577
instruct_parenthetical_aside,1468
instruct_passive_voice,1196
instruct_past_tense,775
instruct_physics_jargon,922
instruct_plan_execute_reflect,132
instruct_playful,1379
instruct_poetic,1259
instruct_polite_request,1240
instruct_positive,1298
instruct_profane,1449
instruct_pseudo_cleft,1382
instruct_pun,1356
instruct_pun_based,1305
instruct_qa_script,1110
instruct_random_caps,1473
instruct_random_linebreaks,1433
instruct_random_linebreaks_and_typo_and_missing_bracket,1279
instruct_random_linebreaks_and_typo_and_missing_bracket_and_many_exclamations,1271
instruct_random_linebreaks_and_typo_and_missing_bracket_and_wrong_punctuation,1213
